User_Name, Views, Duration, Title,
The_Late_Show_with_Stephen_Colbert, 1466031, 5:30, Stephen_Colbert_Becomes_Steven_Seagal
Jimmy_Kimmel_Live, 1592694, 6:58, Jimmy_Kimmel_on_Bill_Cassidy’s_Health_“Care”_Bill
Late_Night_with_Seth_Meyers, 2110827, 9:55, Trump_Lies_About_Taxes`_Health_Care_Amid_Cabinet_Scandals:_A_Closer_Look
The_Tonight_Show_Starring_Jimmy_Fallon, 762720, 6:01, Harrison_Ford_and_Jimmy_Sip_Glasses_of_Scotch_and_Tell_Each_Other_Jokes
Jimmy_Kimmel_Live, 17418632, 3:07, Celebrities_Read_Mean_Tweets_#11
Team_Coco, 241550, 2:10, New_Dad_Andy_Samberg’s_Epic_CONAN_Entrance__-_CONAN_on_TBS
The_Late_Show_with_Stephen_Colbert, 3020777, 8:59, Trump&#39;s_NFL_Comments_Have_Everything_To_Do_With_Race
The_Tonight_Show_Starring_Jimmy_Fallon, 547406, 4:50, Singing_Whisper_Challenge_with_Kate_Winslet
LastWeekTonight, 3640113, 15:10, Corporate_Consolidation:_Last_Week_Tonight_with_John_Oliver_(HBO)
Late_Night_with_Seth_Meyers, 2682869, 11:55, Trump_Attacks_Protesting_Athletes:_A_Closer_Look
The_Tonight_Show_Starring_Jimmy_Fallon, 3536435, 3:50, Camila_Cabello:_Havana
TaylorSwiftVEVO, 505314929, 4:16, Taylor_Swift_-_Look_What_You_Made_Me_Do
Cardi_B, 195613587, 3:54, Cardi_B_-_Bodak_Yellow_[OFFICIAL_MUSIC_VIDEO]
OfficialGucciMane, 74541771, 3:38, Gucci_Mane_-_I_Get_The_Bag_feat._Migos_[Official_Music_Video]
KatyPerryVEVO, 239472736, 6:25, Katy_Perry_-_Swish_Swish_(Official)_ft._Nicki_Minaj
Kodak_Black, 45121721, 2:52, Kodak_Black_-_&quot;TRANSPORTIN&quot;_Directed:_By_Kodak_Black
yogottiVEVO, 55008942, 5:01, Yo_Gotti_-_Rake_It_Up_ft._Nicki_Minaj
ChrisBrownVEVO, 29873913, 4:54, Pills_&amp;_Automobiles_(Official_Video)
jbalvinVEVO, 927973389, 3:06, J._Balvin`_Willy_William_-_Mi_Gente_(Official_Video)
DJKhaledVEVO, 443819677, 3:36, DJ_Khaled_-_Wild_Thoughts_ft._Rihanna`_Bryson_Tiller
LIL_UZI_VERT, 51902194, 4:17, Lil_Uzi_Vert_-_XO_Tour_Llif3_(Official_Music_Video)
LogicVEVO, 77932584, 7:00, Logic_-_1-800-273-8255_ft._Alessia_Cara`_Khalid
LukeCombsVEVO, 23212073, 5:00, Luke_Combs_-_When_It_Rains_It_Pours
SamSmithWorldVEVO, 54935133, 4:25, Sam_Smith_-_Too_Good_At_Goodbyes_(Official_Video)
KendrickLamarVEVO, 94514118, 4:00, Kendrick_Lamar_-_LOYALTY._ft._Rihanna
ZaynVEVO, 130698762, 5:38, ZAYN_-_Dusk_Till_Dawn_ft._Sia
Kodak_Black, 1012557, 3:20, Kodak_Black_-_&quot;I_N_U&quot;_Music_Video
JazmineSullivanVEVO, 200431, 3:53, Jazmine_Sullivan_X_Bryson_Tiller_-_Insecure
50_Cent, 544229, 4:38, Lenny_Grant_Ft._50_Cent_&amp;_Jeremih_-_On_&amp;_On_(Official_Music_Video)_Premiered_on_50_Central
ShaniaTwainVEVO, 872744, 3:36, Shania_Twain_-_Swingin&#39;_With_My_Eyes_Closed
BBCRadio1VEVO, 751610, 4:49, Sam_Smith_-_Too_Good_at_Goodbyes_in_the_Live_Lounge
StormzyTV, 437412, 4:23, STORMZY_-_4PM_IN_LONDON
jbalvinVEVO, 11179173, 3:35, J_Balvin`_Willy_William_-_Mi_Gente_featuring_Beyoncé
DemiLovatoVEVO, 1101087, 3:38, Demi_Lovato_-_Sorry_Not_Sorry_(Vevo_X_Demi_Lovato)
dodieVEVO, 513819, 3:30, dodie_-_6/10
SarahClose1, 125508, 3:49, Sarah_Close_-_Only_You_(Official_Video)
88rising, 357462, 4:29, Keith_Ape_x_Ski_Mask_The_Slump_God_-_Achoo!_(Official_Music_Video)
Maroon5VEVO, 116062, 3:08, CID_-_Creepin&#39;
BoneThugsHarmonyVEVO, 5844292, 3:34, Maroon_5_-_What_Lovers_Do_ft._SZA
PinkVEVO, 11440, 3:17, Bone_Thugs-n-Harmony`_Krayzie_Bone_-_Inhale`_Exhale
50CentVEVO, 2321679, 4:12, P!nk_-_Beautiful_Trauma_(Audio)
TheGameVEVO, 197151047, 4:20, 50_Cent_-_Just_A_Lil_Bit
50CentVEVO, 135280462, 3:28, The_Game`_50_Cent_-_Hate_It_Or_Love_It
EminemVEVO, 567638849, 4:10, 50_Cent_-_In_Da_Club_(Int&#39;l_Version)
50CentVEVO, 254843132, 4:25, Eminem_-_You_Don&#39;t_Know_ft._50_Cent`_Cashis`_Lloyd_Banks
50CentVEVO, 141232279, 5:00, 50_Cent_-_Many_Men_(Wish_Death)_(Dirty_Version)
50CentVEVO, 206703571, 4:20, 50_Cent_-_21_Questions_ft._Nate_Dogg
50CentVEVO, 95491997, 4:34, 50_Cent_-_I&#39;m_The_Man_ft._Chris_Brown
50CentVEVO, 369656175, 4:11, 50_Cent_-_Candy_Shop_ft._Olivia
Breakfast_Club_Power_105.1_FM, 231885917, 5:01, 50_Cent_-_P.I.M.P._(Snoop_Dogg_Remix)_ft._Snoop_Dogg`_G-Unit
HOT_97, 1029011, 48:42, 50_Cent_On_His_New_Comedy_Show`_Offers_Advice_To_Kevin_Hart_+_Usher
Jimmy_Kimmel_Live, 820149, 42:08, 50_Cent_Confronts_Ebro_+_Keeps_It_Real_On_‘4:44’`_Trump_&amp;_Mayweather

